angle,vert_angle,dist,x,y,z,height
0.0,22.5,6.39987850189209,69.80852508544922,8.002197265625,285.3194885253906,7.994023323059082
1.0,22.5,6.399871349334717,69.85137176513672,8.002197265625,285.21795654296875,7.994023323059082
2.0,22.5,6.399876594543457,69.89244079589844,8.002197265625,285.11572265625,7.994023323059082
3.0,22.5,6.399878978729248,69.93171691894531,8.002197265625,285.0127868652344,7.994023323059082
4.0,22.5,6.399875640869141,69.96918487548828,8.002197265625,284.9091796875,7.994023323059082
5.0,22.5,6.399877071380615,70.00484466552734,8.002197265625,284.804931640625,7.994023323059082
6.0,22.5,6.386663436889648,70.0262451171875,8.00436782836914,284.6961669921875,7.994023323059082
7.0,22.5,6.36553955078125,70.0381851196289,8.00783920288086,284.5850830078125,7.994023323059082
8.0,22.5,6.3444390296936035,70.04811096191406,8.011305809020996,284.4741516113281,7.994023323059082
9.0,22.5,6.323381423950195,70.05604553222656,8.014766693115234,284.3634338378906,7.994023323059082
10.0,22.5,6.302371978759766,70.06200408935547,8.018218994140625,284.2529602050781,7.994023323059082
11.0,22.5,6.288445949554443,70.0727767944336,8.020508766174316,284.1442565917969,7.994023323059082
12.0,22.5,6.288434982299805,70.09506225585938,8.020508766174316,284.0382995605469,7.994023323059082
13.0,22.5,6.2884368896484375,70.1155014038086,8.020508766174316,283.9320068359375,7.994023323059082
14.0,22.5,6.288434028625488,70.13408660888672,8.020508766174316,283.8253173828125,7.994023323059082
15.0,22.5,6.288443088531494,70.15081024169922,8.020508766174316,283.7183837890625,7.994023323059082
16.0,22.5,6.288440704345703,70.16565704345703,8.020508766174316,283.61114501953125,7.994023323059082
17.0,22.5,6.270938873291016,70.1614761352539,8.023384094238281,283.5017395019531,7.994023323059082
18.0,22.5,6.250146389007568,70.1521224975586,8.026800155639648,283.3924255371094,7.994023323059082
19.0,22.5,6.2294602394104,70.14093780517578,8.030200004577637,283.2836608886719,7.994023323059082
20.0,22.5,6.208887577056885,70.12794494628906,8.033580780029297,283.1754455566406,7.994023323059082
21.0,22.5,6.188422679901123,70.11315155029297,8.036943435668945,283.06787109375,7.994023323059082
