angle,vert_angle,dist,x,y,z,height
0.0,22.5,6.184430122375488,254.32254028320312,8.002197265625,224.072998046875,7.98433780670166
1.0,22.5,6.184421062469482,254.36717224121094,8.002197265625,224.1695556640625,7.98433780670166
2.0,22.5,6.184425354003906,254.41346740722656,8.002197265625,224.26531982421875,7.98433780670166
3.0,22.5,6.184423446655273,254.46144104003906,8.002197265625,224.3602752685547,7.98433780670166
4.0,22.5,6.184414386749268,254.5110626220703,8.002197265625,224.45436096191406,7.98433780670166
5.0,22.5,6.1844258308410645,254.5623016357422,8.002197265625,224.54757690429688,7.98433780670166
6.0,22.5,6.184441566467285,254.6151580810547,8.002197265625,224.639892578125,7.98433780670166
7.0,22.5,6.1844282150268555,254.66964721679688,8.002197265625,224.73126220703125,7.98433780670166
8.0,22.5,6.184429168701172,254.7257080078125,8.002197265625,224.82167053222656,7.98433780670166
9.0,22.5,6.184419631958008,254.78334045410156,8.002197265625,224.91107177734375,7.98433780670166
10.0,22.5,6.1844258308410645,254.84251403808594,8.002197265625,224.9994659423828,7.98433780670166
11.0,22.5,6.184421539306641,254.90322875976562,8.002197265625,225.08680725097656,7.98433780670166
12.0,22.5,6.1844329833984375,254.9654541015625,8.002197265625,225.173095703125,7.98433780670166
13.0,22.5,6.184433460235596,255.02919006347656,8.002197265625,225.25828552246094,7.98433780670166
14.0,22.5,6.184422492980957,255.09439086914062,8.002197265625,225.34231567382812,7.98433780670166
15.0,22.5,6.1844305992126465,255.16104125976562,8.002197265625,225.4252166748047,7.98433780670166
16.0,22.5,6.184429168701172,255.22914123535156,8.002197265625,225.50694274902344,7.98433780670166
17.0,22.5,6.1844329833984375,255.2986602783203,8.002197265625,225.5874786376953,7.98433780670166
18.0,22.5,6.184423446655273,255.36956787109375,8.002197265625,225.66676330566406,7.98433780670166
19.0,22.5,6.18443489074707,255.44183349609375,8.002197265625,225.74481201171875,7.98433780670166
20.0,22.5,6.184434413909912,255.51547241210938,8.002197265625,225.82159423828125,7.98433780670166
21.0,22.5,6.1844353675842285,255.59043884277344,8.002197265625,225.89707946777344,7.98433780670166
22.0,22.5,6.184425354003906,255.6667022705078,8.002197265625,225.97122192382812,7.98433780670166
23.0,22.5,6.184427261352539,255.74424743652344,8.002197265625,226.04403686523438,7.98433780670166
24.0,22.5,6.1844282150268555,255.82305908203125,8.002197265625,226.11549377441406,7.98433780670166
25.0,22.5,6.184426307678223,255.90309143066406,8.002197265625,226.185546875,7.98433780670166
26.0,22.5,6.184431552886963,255.98434448242188,8.002197265625,226.25421142578125,7.98433780670166
27.0,22.5,6.184432029724121,256.0668029785156,8.002197265625,226.3214569091797,7.98433780670166
28.0,22.5,6.1844282150268555,256.150390625,8.002197265625,226.38722229003906,7.98433780670166
29.0,22.5,6.18442440032959,256.2351379394531,8.002197265625,226.4515380859375,7.98433780670166
30.0,22.5,6.184422492980957,256.32098388671875,8.002197265625,226.5143585205078,7.98433780670166
31.0,22.5,6.184426784515381,256.40789794921875,8.002197265625,226.57566833496094,7.98433780670166
32.0,22.5,6.184436798095703,256.4958801269531,8.002197265625,226.63546752929688,7.98433780670166
33.0,22.5,6.184433937072754,256.58489990234375,8.002197265625,226.69371032714844,7.98433780670166
34.0,22.5,6.184433460235596,256.6749267578125,8.002197265625,226.75039672851562,7.98433780670166
35.0,22.5,6.184429168701172,256.7658996582031,8.002197265625,226.80548095703125,7.98433780670166
36.0,22.5,6.184444427490234,256.85784912109375,8.002197265625,226.8590087890625,7.98433780670166
37.0,22.5,6.184432029724121,256.9507141113281,8.002197265625,226.910888671875,7.98433780670166
38.0,22.5,6.184445381164551,257.0444641113281,8.002197265625,226.96116638183594,7.98433780670166
39.0,22.5,6.184445381164551,257.1390686035156,8.002197265625,227.00978088378906,7.98433780670166
40.0,22.5,6.1844329833984375,257.2345275878906,8.002197265625,227.05673217773438,7.98433780670166
41.0,22.5,6.184446811676025,257.3307800292969,8.002197265625,227.10203552246094,7.98433780670166
42.0,22.5,6.184446334838867,257.42779541015625,8.002197265625,227.1456298828125,7.98433780670166
43.0,22.5,6.184419631958008,257.5256042480469,8.002197265625,227.18751525878906,7.98433780670166
44.0,22.5,6.184441089630127,257.62408447265625,8.002197265625,227.22772216796875,7.98433780670166
45.0,22.5,6.184429168701172,257.7232666015625,8.002197265625,227.26617431640625,7.98433780670166
46.0,22.5,6.18443489074707,257.8230895996094,8.002197265625,227.3029022216797,7.98433780670166
47.0,22.5,6.18444299697876,257.9235534667969,8.002197265625,227.337890625,7.98433780670166
48.0,22.5,6.184444904327393,258.02459716796875,8.002197265625,227.37110900878906,7.98433780670166
49.0,22.5,6.184441089630127,258.126220703125,8.002197265625,227.40255737304688,7.98433780670166
50.0,22.5,6.184426307678223,258.2283935546875,8.002197265625,227.43222045898438,7.98433780670166
51.0,22.5,6.184446334838867,258.3310546875,8.002197265625,227.4601287841797,7.98433780670166
52.0,22.5,6.184436798095703,258.4341735839844,8.002197265625,227.4862060546875,7.98433780670166
53.0,22.5,6.184446811676025,258.5377197265625,8.002197265625,227.510498046875,7.98433780670166
54.0,22.5,6.184442043304443,258.6417236328125,8.002197265625,227.53297424316406,7.98433780670166
55.0,22.5,6.184433460235596,258.7460632324219,8.002197265625,227.55361938476562,7.98433780670166
56.0,22.5,6.1844329833984375,258.8507385253906,8.002197265625,227.57244873046875,7.98433780670166
57.0,22.5,6.184443473815918,258.95574951171875,8.002197265625,227.58946228027344,7.98433780670166
58.0,22.5,6.184429168701172,259.06103515625,8.002197265625,227.6046142578125,7.98433780670166
59.0,22.5,6.184449195861816,259.1665954589844,8.002197265625,227.6179656982422,7.98433780670166
60.0,22.5,6.184438228607178,259.2723693847656,8.002197265625,227.6294403076172,7.98433780670166
61.0,22.5,6.184447765350342,259.3782958984375,8.002197265625,227.6390838623047,7.98433780670166
62.0,22.5,6.18442964553833,259.484375,8.002197265625,227.6468505859375,7.98433780670166
63.0,22.5,6.184447765350342,259.590576171875,8.002197265625,227.65280151367188,7.98433780670166
64.0,22.5,6.184443473815918,259.6968688964844,8.002197265625,227.65687561035156,7.98433780670166
65.0,22.5,6.184447765350342,259.80322265625,8.002197265625,227.6591033935547,7.98433780670166
66.0,22.5,6.1844482421875,259.90960693359375,8.002197265625,227.6594696044922,7.98433780670166
67.0,22.5,6.18444299697876,260.0159912109375,8.002197265625,227.65797424316406,7.98433780670166
68.0,22.5,6.1844482421875,260.122314453125,8.002197265625,227.65463256835938,7.98433780670166
69.0,22.5,6.184447288513184,260.22857666015625,8.002197265625,227.64942932128906,7.98433780670166
70.0,22.5,6.184435844421387,260.3346862792969,8.002197265625,227.64236450195312,7.98433780670166
71.0,22.5,6.184446811676025,260.4407043457031,8.002197265625,227.6334686279297,7.98433780670166
72.0,22.5,6.184445381164551,260.5465393066406,8.002197265625,227.62271118164062,7.98433780670166
73.0,22.5,6.184441566467285,260.65216064453125,8.002197265625,227.610107421875,7.98433780670166
74.0,22.5,6.184431552886963,260.7575378417969,8.002197265625,227.5956573486328,7.98433780670166
75.0,22.5,6.184445381164551,260.8626708984375,8.002197265625,227.5793914794922,7.98433780670166
76.0,22.5,6.184445381164551,260.9674987792969,8.002197265625,227.561279296875,7.98433780670166
77.0,22.5,6.184440612792969,261.0719909667969,8.002197265625,227.5413360595703,7.98433780670166
78.0,22.5,6.1844401359558105,261.1761169433594,8.002197265625,227.5195770263672,7.98433780670166
79.0,22.5,6.184451580047607,261.27984619140625,8.002197265625,227.4960174560547,7.98433780670166
80.0,22.5,6.184454441070557,261.3831481933594,8.002197265625,227.47064208984375,7.98433780670166
81.0,22.5,6.184442043304443,261.4859924316406,8.002197265625,227.44345092773438,7.98433780670166
82.0,22.5,6.184449195861816,261.5883483886719,8.002197265625,227.41448974609375,7.98433780670166
83.0,22.5,6.184439659118652,261.690185546875,8.002197265625,227.38372802734375,7.98433780670166
84.0,22.5,6.1844482421875,261.7914733886719,8.002197265625,227.35121154785156,7.98433780670166
85.0,22.5,6.184450149536133,261.8921813964844,8.002197265625,227.31692504882812,7.98433780670166
86.0,22.5,6.184442043304443,261.99224853515625,8.002197265625,227.2808837890625,7.98433780670166
