angle,vert_angle,dist,x,y,z,height
0.0,22.5,42.47963333129883,63.83892059326172,11.86195182800293,67.10736846923828,7.971048355102539
1.0,22.5,43.2581787109375,64.60200500488281,11.565187454223633,67.75093841552734,7.971048355102539
2.0,22.5,44.073516845703125,65.39311218261719,11.25439453125,68.41328430175781,7.971048355102539
3.0,22.5,44.89470291137695,66.20948791503906,10.94137191772461,69.06524658203125,7.971048355102539
4.0,22.5,45.842994689941406,67.069580078125,10.579898834228516,69.81668090820312,7.971048355102539
5.0,22.5,46.806541442871094,67.96029663085938,10.212614059448242,70.564208984375,7.971048355102539
6.0,22.5,47.673004150390625,68.86129760742188,9.882333755493164,71.20515441894531,7.971048355102539
7.0,22.5,48.68526840209961,69.8161849975586,9.496477127075195,71.95897674560547,7.971048355102539
8.0,22.5,49.47754669189453,70.7525405883789,9.194477081298828,72.49458312988281,7.971048355102539
298.0,22.5,49.74507141113281,21.72635269165039,9.092500686645508,53.394752502441406,7.971048355102539
299.0,22.5,49.10263442993164,22.664630889892578,9.337387084960938,53.72386169433594,7.971048355102539
300.0,22.5,48.32476043701172,23.704505920410156,9.633895874023438,53.955360412597656,7.971048355102539
301.0,22.5,47.4034423828125,24.847503662109375,9.985082626342773,54.079647064208984,7.971048355102539
302.0,22.5,46.56435012817383,25.92324447631836,10.304931640625,54.218379974365234,7.971048355102539
303.0,22.5,45.71275329589844,27.0019474029541,10.629547119140625,54.320438385009766,7.971048355102539
304.0,22.5,44.740474700927734,28.15972137451172,11.000160217285156,54.3220100402832,7.971048355102539
305.0,22.5,44.09267044067383,29.07913589477539,11.247087478637695,54.48616027832031,7.971048355102539
306.0,22.5,43.31794357299805,30.082313537597656,11.542404174804688,54.548606872558594,7.971048355102539
307.0,22.5,42.53556823730469,31.083282470703125,11.840627670288086,54.5794792175293,7.971048355102539
308.0,22.5,41.818031311035156,32.032535552978516,12.114142417907715,54.6248893737793,7.971048355102539
309.0,22.5,41.177467346191406,32.92363357543945,12.35831356048584,54.69527053833008,7.971048355102539
310.0,22.5,40.58071517944336,33.78012466430664,12.585783004760742,54.771663665771484,7.971048355102539
311.0,22.5,39.99488830566406,34.62394332885742,12.809090614318848,54.833740234375,7.971048355102539
312.0,22.5,39.525672912597656,35.38896942138672,12.987945556640625,54.95411682128906,7.971048355102539
313.0,22.5,38.99673080444336,36.18693542480469,13.189569473266602,55.01469802856445,7.971048355102539
314.0,22.5,38.546260833740234,36.93227767944336,13.361278533935547,55.11090087890625,7.971048355102539
315.0,22.5,38.18010711669922,37.6240234375,13.500849723815918,55.24955368041992,7.971048355102539
316.0,22.5,37.79185485839844,38.32621383666992,13.648842811584473,55.35640335083008,7.971048355102539
317.0,22.5,37.420928955078125,39.0154914855957,13.790237426757812,55.45984649658203,7.971048355102539
318.0,22.5,37.08002853393555,39.68516159057617,13.920178413391113,55.569942474365234,7.971048355102539
319.0,22.5,36.77350997924805,40.333736419677734,14.037020683288574,55.690975189208984,7.971048355102539
320.0,22.5,36.487850189208984,40.969356536865234,14.145907402038574,55.81372833251953,7.971048355102539
321.0,22.5,36.21685028076172,41.59571075439453,14.2492094039917,55.934085845947266,7.971048355102539
322.0,22.5,35.9669303894043,42.2099494934082,14.34447193145752,56.057559967041016,7.971048355102539
323.0,22.5,35.75678253173828,42.80360412597656,14.424576759338379,56.199501037597656,7.971048355102539
324.0,22.5,35.59016036987305,43.37630844116211,14.488089561462402,56.363975524902344,7.971048355102539
325.0,22.5,35.44672393798828,43.93891143798828,14.542767524719238,56.535743713378906,7.971048355102539
326.0,22.5,35.304908752441406,44.50168228149414,14.596823692321777,56.6978645324707,7.971048355102539
327.0,22.5,35.13457107543945,45.07737731933594,14.661754608154297,56.82568359375,7.971048355102539
328.0,22.5,35.04595184326172,45.6190299987793,14.69553279876709,57.009788513183594,7.971048355102539
329.0,22.5,34.94721221923828,46.16655731201172,14.733172416687012,57.17533493041992,7.971048355102539
330.0,22.5,34.87589645385742,46.704933166503906,14.760354995727539,57.353702545166016,7.971048355102539
331.0,22.5,34.823509216308594,47.23832321166992,14.780324935913086,57.538230895996094,7.971048355102539
332.0,22.5,34.801490783691406,47.76331329345703,14.788718223571777,57.73902130126953,7.971048355102539
333.0,22.5,34.793914794921875,48.286502838134766,14.791604042053223,57.94291305541992,7.971048355102539
334.0,22.5,34.79471969604492,48.81034469604492,14.79129695892334,58.14485549926758,7.971048355102539
335.0,22.5,34.790428161621094,49.33921432495117,14.79293441772461,58.33318328857422,7.971048355102539
336.0,22.5,34.81220626831055,49.863590240478516,14.784632682800293,58.53509521484375,7.971048355102539
337.0,22.5,34.876319885253906,50.37995529174805,14.760190963745117,58.76525115966797,7.971048355102539
338.0,22.5,34.96488952636719,50.89482498168945,14.726430892944336,59.00834274291992,7.971048355102539
339.0,22.5,35.04680633544922,51.41687774658203,14.695207595825195,59.23687744140625,7.971048355102539
340.0,22.5,35.14362335205078,51.94066619873047,14.65830135345459,59.469947814941406,7.971048355102539
341.0,22.5,35.277870178222656,52.461891174316406,14.607129096984863,59.727867126464844,7.971048355102539
342.0,22.5,35.42311477661133,52.9874267578125,14.551766395568848,59.987060546875,7.971048355102539
343.0,22.5,35.59065246582031,53.51559066772461,14.487900733947754,60.257728576660156,7.971048355102539
344.0,22.5,35.80135726928711,54.04377746582031,14.407584190368652,60.55888748168945,7.971048355102539
345.0,22.5,35.967411041259766,54.587303161621094,14.344291687011719,60.8106689453125,7.971048355102539
346.0,22.5,36.20627975463867,55.127845764160156,14.253236770629883,61.11991882324219,7.971048355102539
